Year,Month,Region,StatArea,Group,Section,LocationCode,LocationName,Eastings,Northings,Longitude,Latitude,Sample,SourceCode,GearCode,Fish,Length,Weight,Sex,MaturityCode,Age,DualAge,GonadLength,GonadWeight,Period,SampWt
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,1,178,77,F,4,3,0,102,7,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,2,202,117,F,4,6,0,117,21,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,3,197,109,M,5,6,0,115,20,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,4,187,99,M,4,4,0,116,14,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,5,160,54,M,4,3,0,97,7,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,7,195,121,M,5,5,0,116,23,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,8,201,127,F,4,7,0,112,29,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,9,206,120,F,4,6,0,111,18,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,10,188,91,F,4,6,0,108,15,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,11,200,122,F,4,5,0,105,22,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,12,165,70,M,4,3,0,98,10,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,13,201,104,F,4,6,0,110,18,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,14,185,93,F,4,4,0,100,12,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,15,191,108,F,4,4,0,105,23,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,16,182,84,M,4,4,0,111,14,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,17,184,85,F,3,3,0,NA,NA,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,18,175,84,M,4,4,0,104,12,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,19,171,82,M,4,4,0,100,14,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,20,183,97,F,4,4,0,102,18,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,21,189,113,F,4,4,0,106,24,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,22,173,75,F,4,4,0,NA,NA,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,23,176,94,M,4,3,0,106,16,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,24,190,93,F,4,5,0,113,17,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,25,193,113,F,4,6,0,107,29,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,26,170,71,M,4,5,0,95,14,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,28,170,70,F,4,3,0,80,8,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,29,208,108,M,5,5,0,125,16,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,30,179,82,F,4,4,0,104,18,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,31,150,56,M,4,3,0,92,8,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,32,163,57,M,4,3,0,NA,9,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,33,158,54,F,4,3,0,82,7,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,34,185,91,M,4,8,0,105,16,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,35,160,71,F,4,3,0,90,10,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,36,185,74,M,4,6,0,104,9,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,37,151,58,F,4,3,0,86,12,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,38,194,123,F,4,4,0,112,28,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,41,139,31,U,2,2,0,NA,NA,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,42,171,69,M,4,4,0,102,12,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,43,173,85,M,4,4,0,102,15,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,44,182,99,M,5,4,0,110,17,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,45,196,122,F,4,6,0,108,28,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,46,172,82,F,4,4,0,96,13,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,47,181,97,M,5,7,0,111,17,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,48,162,53,F,4,3,0,70,9,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,49,172,78,F,4,4,0,82,12,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,50,144,39,U,2,2,0,NA,NA,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,51,205,139,F,4,6,0,115,29,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,52,188,87,F,4,4,0,102,11,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,53,186,97,M,4,4,0,112,15,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,54,187,101,M,4,4,0,107,16,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,55,176,83,M,4,3,0,102,14,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,56,158,65,F,4,3,0,84,12,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,57,176,77,F,4,5,0,93,10,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,58,173,87,F,4,4,0,100,16,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,59,194,96,F,4,4,0,112,17,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,60,184,87,M,4,4,0,104,18,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,61,160,65,F,4,3,0,88,13,1,1
2019,1,SoG,13,Lazo,132,766,Deepwater Bay,1046977.2223103488,575038.366999618,-125.342033333333,50.1891,58,1,29,62,149,51,F,4,3,0,85,9,1,1
