Region,Year,Period,Biomass,Depletion,Catch,HarvRate,Production,ProdRate
Prince Rupert District,1951,Surface,48,1,46,0,27,1
Prince Rupert District,1952,Surface,22,0,52,1,10,0
Prince Rupert District,1953,Surface,31,1,2,0,22,1
Prince Rupert District,1954,Surface,26,0,27,1,14,1
Prince Rupert District,1955,Surface,22,0,18,0,13,1
Prince Rupert District,1956,Surface,25,0,10,0,16,1
Prince Rupert District,1957,Surface,13,0,28,1,17,1
Prince Rupert District,1958,Surface,25,0,5,0,32,1
Prince Rupert District,1959,Surface,46,1,10,0,23,1
Prince Rupert District,1960,Surface,51,1,18,0,58,1
Prince Rupert District,1961,Surface,66,1,43,0,46,1
Prince Rupert District,1962,Surface,84,1,28,0,20,0
Prince Rupert District,1963,Surface,64,1,40,0,25,0
Prince Rupert District,1964,Surface,59,1,30,0,23,0
Prince Rupert District,1965,Surface,38,1,44,1,2,0
Prince Rupert District,1966,Surface,22,0,17,0,-4,-0
Prince Rupert District,1967,Surface,10,0,8,0,0,0
Prince Rupert District,1968,Surface,9,0,2,0,0,0
Prince Rupert District,1969,Surface,9,0,0,0,3,0
Prince Rupert District,1970,Surface,11,0,1,0,3,0
Prince Rupert District,1971,Surface,11,0,4,0,4,0
Prince Rupert District,1972,Surface,10,0,4,0,4,0
Prince Rupert District,1973,Surface,13,0,2,0,8,1
Prince Rupert District,1974,Surface,18,0,4,0,2,0
Prince Rupert District,1975,Surface,17,0,2,0,7,0
Prince Rupert District,1976,Surface,21,0,4,0,3,0
Prince Rupert District,1977,Surface,15,0,8,0,3,0
Prince Rupert District,1978,Surface,10,0,9,0,5,1
Prince Rupert District,1979,Surface,11,0,4,0,9,1
Prince Rupert District,1980,Surface,17,0,3,0,6,0
Prince Rupert District,1981,Surface,20,0,3,0,5,0
Prince Rupert District,1982,Surface,22,0,2,0,8,0
Prince Rupert District,1983,Surface,30,0,0,0,12,0
Prince Rupert District,1984,Surface,38,1,4,0,4,0
Prince Rupert District,1985,Surface,36,1,7,0,11,0
Prince Rupert District,1986,Surface,38,1,9,0,6,0
Prince Rupert District,1987,Surface,38,1,6,0,3,0
Prince Rupert District,1988,Dive,32,1,8,0,3,0
Prince Rupert District,1989,Dive,27,0,8,0,5,0
Prince Rupert District,1990,Dive,26,0,5,0,8,0
Prince Rupert District,1991,Dive,31,1,4,0,7,0
Prince Rupert District,1992,Dive,33,1,5,0,1,0
Prince Rupert District,1993,Dive,27,0,6,0,-2,-0
Prince Rupert District,1994,Dive,20,0,5,0,3,0
Prince Rupert District,1995,Dive,21,0,2,0,8,0
Prince Rupert District,1996,Dive,27,0,3,0,3,0
Prince Rupert District,1997,Dive,24,0,6,0,2,0
Prince Rupert District,1998,Dive,23,0,3,0,3,0
Prince Rupert District,1999,Dive,24,0,2,0,1,0
Prince Rupert District,2000,Dive,20,0,4,0,5,0
Prince Rupert District,2001,Dive,22,0,3,0,4,0
Prince Rupert District,2002,Dive,22,0,4,0,8,0
Prince Rupert District,2003,Dive,26,0,4,0,-2,-0
Prince Rupert District,2004,Dive,20,0,4,0,-1,-0
Prince Rupert District,2005,Dive,15,0,4,0,2,0
Prince Rupert District,2006,Dive,15,0,3,0,3,0
Prince Rupert District,2007,Dive,16,0,1,0,2,0
Prince Rupert District,2008,Dive,16,0,2,0,2,0
Prince Rupert District,2009,Dive,16,0,2,0,3,0
Prince Rupert District,2010,Dive,17,0,1,0,3,0
Prince Rupert District,2011,Dive,18,0,2,0,0,0
Prince Rupert District,2012,Dive,17,0,1,0,2,0
Prince Rupert District,2013,Dive,17,0,2,0,1,0
Prince Rupert District,2014,Dive,16,0,2,0,5,0
Prince Rupert District,2015,Dive,19,0,2,0,0,0
Prince Rupert District,2016,Dive,17,0,2,0,1,0
Prince Rupert District,2017,Dive,15,0,3,0,5,0
Prince Rupert District,2018,Dive,20,0,0,0,11,1
Prince Rupert District,2019,Dive,31,1,0,0,-2,-0
Prince Rupert District,2020,Dive,29,0,0,0,1,0
Prince Rupert District,2021,Dive,30,0,0,0,NA,NA
